,区域名称,区域链接,类型
0,新建,https://nc.anjuke.com/sale/xinjianqu/,大区
1,长堎,https://nc.anjuke.com/sale/changleng/,小区
2,红角洲,https://nc.anjuke.com/sale/hongjiaozhouw/,小区
3,九龙湖新区,https://nc.anjuke.com/sale/jiulonghuxinqu/,小区
4,丽景路,https://nc.anjuke.com/sale/lijinglu/,小区
5,桑海开发区,https://nc.anjuke.com/sale/sanghaikaifaqu/,小区
6,望城新区,https://nc.anjuke.com/sale/wangchengxinqu/,小区
7,万达城,https://nc.anjuke.com/sale/wandacheng/,小区
8,望城镇,https://nc.anjuke.com/sale/wangchengzhen/,小区
9,新建区周边,https://nc.anjuke.com/sale/xinjianquzhoubian/,小区
10,新建区其他,https://nc.anjuke.com/sale/xinjianquqita/,小区
11,红谷滩,https://nc.anjuke.com/sale/honggutannanchang/,大区
12,凤凰洲,https://nc.anjuke.com/sale/honggutannanchang-fenghuangzhous/,小区
13,红角洲,https://nc.anjuke.com/sale/honggutannanchang-hongjiaozhouw/,小区
14,九龙湖新区,https://nc.anjuke.com/sale/honggutannanchang-jiulonghuxinqu/,小区
15,丽景路,https://nc.anjuke.com/sale/honggutannanchang-lijinglu/,小区
16,秋水广场,https://nc.anjuke.com/sale/honggutannanchang-qiushuiguangchang/,小区
17,沙井,https://nc.anjuke.com/sale/honggutannanchang-shajin/,小区
18,万达城,https://nc.anjuke.com/sale/honggutannanchang-wandacheng/,小区
19,西湖,https://nc.anjuke.com/sale/xihub/,大区
20,朝阳新城,https://nc.anjuke.com/sale/chaoyangxincheng/,小区
21,朝阳洲,https://nc.anjuke.com/sale/chaoyangzhou/,小区
22,丁公路,https://nc.anjuke.com/sale/dinggonglu/,小区
23,建设西路,https://nc.anjuke.com/sale/jianshexilu/,小区
24,水厂路,https://nc.anjuke.com/sale/shuichanglu/,小区
25,系马桩,https://nc.anjuke.com/sale/ximazhuanga/,小区
26,云锦路,https://nc.anjuke.com/sale/yunjinlu/,小区
27,东湖,https://nc.anjuke.com/sale/donghu/,大区
28,大院,https://nc.anjuke.com/sale/dayuan/,小区
29,青山北路,https://nc.anjuke.com/sale/qingshanbeilu/,小区
30,秋水广场,https://nc.anjuke.com/sale/qiushuiguangchang/,小区
31,三经路,https://nc.anjuke.com/sale/sanjinglu/,小区
32,文教路,https://nc.anjuke.com/sale/wenjiaol/,小区
33,象山北路,https://nc.anjuke.com/sale/xiangshanbeilu/,小区
34,阳明东路,https://nc.anjuke.com/sale/yangmingdonglu/,小区
35,青山湖,https://nc.anjuke.com/sale/qingshanhua/,大区
36,凤凰洲,https://nc.anjuke.com/sale/fenghuangzhous/,小区
37,高新开发区,https://nc.anjuke.com/sale/gaoxinkaifaqus/,小区
38,湖滨东路,https://nc.anjuke.com/sale/hubindonglu/,小区
39,洪都中大道,https://nc.anjuke.com/sale/hongduzhongdadao/,小区
40,经开区,https://nc.anjuke.com/sale/jingkaiq/,小区
41,京安路,https://nc.anjuke.com/sale/jinanlu/,小区
42,解放东路,https://nc.anjuke.com/sale/jiefangdongluz/,小区
43,罗家镇,https://nc.anjuke.com/sale/luojiazhen/,小区
44,南京东路,https://nc.anjuke.com/sale/nanjingdonglua/,小区
45,青山湖周边,https://nc.anjuke.com/sale/qingshanhuzhoubian/,小区
46,沙井,https://nc.anjuke.com/sale/shajin/,小区
47,上海路,https://nc.anjuke.com/sale/shanghailua/,小区
48,双港东大街,https://nc.anjuke.com/sale/shuanggangdongdajie/,小区
49,扬子洲,https://nc.anjuke.com/sale/yangzizhou/,小区
50,高新区,https://nc.anjuke.com/sale/gaoxinqunanchang/,大区
51,艾溪湖南路,https://nc.anjuke.com/sale/gaoxinqunanchang-aixihunanlu/,小区
52,高新开发区,https://nc.anjuke.com/sale/gaoxinqunanchang-gaoxinkaifaqus/,小区
53,南京东路,https://nc.anjuke.com/sale/gaoxinqunanchang-nanjingdonglua/,小区
54,南塘湖,https://nc.anjuke.com/sale/gaoxinqunanchang-nantanghu/,小区
55,太子殿,https://nc.anjuke.com/sale/gaoxinqunanchang-taizidian/,小区
56,南昌县,https://nc.anjuke.com/sale/nanchangxian/,大区
57,艾溪湖南路,https://nc.anjuke.com/sale/aixihunanlu/,小区
58,昌南客运站,https://nc.anjuke.com/sale/changnankeyunzhan/,小区
59,莲塘,https://nc.anjuke.com/sale/liantangd/,小区
60,南塘湖,https://nc.anjuke.com/sale/nantanghu/,小区
61,南昌县周边,https://nc.anjuke.com/sale/nanchangxianzhoubian/,小区
62,太子殿,https://nc.anjuke.com/sale/taizidian/,小区
63,小蓝,https://nc.anjuke.com/sale/xiaolangongyeyuan/,小区
64,象湖滨江,https://nc.anjuke.com/sale/xianghubinjiang/,小区
65,象湖新城,https://nc.anjuke.com/sale/xianghuxinchenga/,小区
66,青云谱,https://nc.anjuke.com/sale/qingyunpuqu/,大区
67,城南,https://nc.anjuke.com/sale/chennan/,小区
68,岱山,https://nc.anjuke.com/sale/daishan/,小区
69,洪都,https://nc.anjuke.com/sale/hongdu/,小区
70,建设路,https://nc.anjuke.com/sale/jianshelu/,小区
71,京山,https://nc.anjuke.com/sale/jingshan/,小区
72,塔子桥南路,https://nc.anjuke.com/sale/taziqiaonanlu/,小区
73,经开区,https://nc.anjuke.com/sale/jingkaiqunanchang/,大区
74,经开区,https://nc.anjuke.com/sale/jingkaiqunanchang-jingkaiq/,小区
75,双港东大街,https://nc.anjuke.com/sale/jingkaiqunanchang-shuanggangdongdajie/,小区
76,湾里,https://nc.anjuke.com/sale/wanlia/,大区
77,湾里,https://nc.anjuke.com/sale/wanlid/,小区
78,进贤,https://nc.anjuke.com/sale/jinxianxian/,大区
79,进贤,https://nc.anjuke.com/sale/jinxian/,小区
80,安义,https://nc.anjuke.com/sale/anyixian/,大区
81,安义,https://nc.anjuke.com/sale/anyi/,小区
