,具体地址,单价,建造年份,总价,房型,标题,楼层,链接,面积
0,"新力东园  新建-九龙湖新区-龙虎山大道,近上饶大道",15364元/m²,2016年建造,169,3室2厅,九龙湖新力园系里的保时捷高端精装修住宅 享受不一样的品质,中层(共30层),https://nc.anjuke.com/prop/view/A1589123969?from=filter&spread=filtersearch&position=1&kwtype=filter&now_time=1550802593,110m²
1,"绿地悦城F区  新建-九龙湖新区-西站大街,近三清山大道",18182元/m²,2015年建造,260,3室2厅,绿地悦城F区三房143平260万，南师附小，外国语，国体中心,中层(共18层),https://nc.anjuke.com/prop/view/A1588511779?from=filter&spread=filtersearch&position=2&kwtype=filter&now_time=1550802593,143m²
2,九龙馨苑  新建-九龙湖新区-祥云大道,17683元/m²,2013年建造,290,3室2厅,九龙馨苑地铁国体站100米就读南师外国语初高中,高层(共31层),https://nc.anjuke.com/prop/view/A1588787642?from=filter&spread=filtersearch&position=3&kwtype=filter&now_time=1550802593,164m²
3,九龙馨苑  新建-九龙湖新区-祥云大道,18750元/m²,2015年建造,300,3室2厅,红谷滩区政府集资 地段位置绝 佳 南北通透 南师附小旁,高层(共30层),https://nc.anjuke.com/prop/view/A1589364090?from=filter&spread=filtersearch&position=4&kwtype=filter&now_time=1550802593,160m²
4,绿地悦城E区  新建-九龙湖新区-江西省南昌市红角洲学府大道西站大街,18531元/m²,2015年建造,265,3室2厅,绿地悦城E区 一线江景 紧靠国体中心 地 铁口，读南师附小,高层(共18层),https://nc.anjuke.com/prop/view/A1588518960?from=filter&spread=filtersearch&position=5&kwtype=filter&now_time=1550802593,143m²
5,九龙湖花园一区  新建-九龙湖新区-祥云大道,14577元/m²,2014年建造,175,3室2厅,九龙湖中心 省政府旁 精装通透三房 诚心出售 要的速度,中层(共32层),https://nc.anjuke.com/prop/view/A1588688673?from=filter&spread=filtersearch_t&position=6&kwtype=filter&now_time=1550802593,120m²
6,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,19564元/m²,2010年建造,350,4室2厅,绿地国博城 上下三层！低于市场价50万，房东挥泪抛售，送车位,共1层,https://nc.anjuke.com/prop/view/A1578575091?from=filter&spread=filtersearch_t&position=7&kwtype=filter&now_time=1550802593,178m²
7,恒天时尚中心  新建-九龙湖新区-赣江南大道1566号,10809元/m²,2018年建造,48.9,1室1厅,双地铁口，一线江景现房公寓，买即收租，来电享受看房车包接送！,中层(共18层),https://nc.anjuke.com/prop/view/A1587831841?from=filter&spread=filtersearch_t&position=8&kwtype=filter&now_time=1550802593,45m²
8,绿地国际博览城御珑  新建-九龙湖新区-九龙大道1177号,15684元/m²,2014年建造,149,3室2厅,绿地国博 惊现毛胚价精装通透三房，楼下地铁口，育新小学 急售,中层(共29层),https://nc.anjuke.com/prop/view/A1585746187?from=filter&spread=filtersearch_t&position=9&kwtype=filter&now_time=1550802593,95m²
9,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,15596元/m²,2015年建造,170,3室2厅,不限购绿地国际博览城豪装三房带家具家电 170万拒绝假广告,中层(共27层),https://nc.anjuke.com/prop/view/A1583426259?from=filter&spread=filtersearch_t&position=10&kwtype=filter&now_time=1550802593,109m²
10,绿地国际博览城卧珑  新建-九龙湖新区-九龙大道1177号,15368元/m²,2014年建造,146,3室2厅,爆款 绿地国博精装3房2厅一卫 房东已经定了其他楼盘急需出手,中层(共28层),https://nc.anjuke.com/prop/view/A1588279228?from=filter&spread=filtersearch_t&position=11&kwtype=filter&now_time=1550802593,95m²
11,恒天时尚中心  新建-九龙湖新区-赣江南大道1566号,11354元/m²,2018年建造,55.5,1室1厅,红谷滩地铁口，一线江景房，270度江景尽收眼底，恒天时尚中心,低层(共27层),https://nc.anjuke.com/prop/view/A1583015679?from=filter&spread=filtersearch_t&position=12&kwtype=filter&now_time=1550802593,48m²
12,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,15301元/m²,2015年建造,146,3室2厅,绿地国际博览城 精装修3房 全天采光 家电家具都带 房东诚售,中层(共32层),https://nc.anjuke.com/prop/view/A1585136880?from=filter&spread=filtersearch_t&position=13&kwtype=filter&now_time=1550802593,95m²
13,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,16215元/m²,2015年建造,176,3室2厅,捡漏时间到！国博，居家豪装3房 只卖毛坯价 拎包入住 双学位,高层(共32层),https://nc.anjuke.com/prop/view/A1584866573?from=filter&spread=filtersearch_t&position=14&kwtype=filter&now_time=1550802593,108m²
14,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,13945元/m²,2014年建造,152,3室2厅,绿地君珑小区，110平通透三房单价不到1.4万，有梦就追吧！,中层(共33层),https://nc.anjuke.com/prop/view/A1581024949?from=filter&spread=filtersearch_t&position=15&kwtype=filter&now_time=1550802593,109m²
15,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,19929元/m²,2015年建造,279,4室2厅,（万科自营）粹叠园省人大集资房得房率高不限购精装四房适合居住,低层(共33层),https://nc.anjuke.com/prop/view/A1587412819?from=filter&spread=filtersearch_t&position=16&kwtype=filter&now_time=1550802593,140m²
16,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,13929元/m²,2016年建造,156,3室2厅,国博一期 不限购 性价比超高一套 房东直降20万出门地铁育新,中层(共32层),https://nc.anjuke.com/prop/view/A1585133790?from=filter&spread=filtersearch_t&position=17&kwtype=filter&now_time=1550802593,112m²
17,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,15510元/m²,2016年建造,148,3室2厅,绿地国博不限购 房东20万结婚装修小三房 拎包入住近地铁学校,中层(共30层),https://nc.anjuke.com/prop/view/A1584964274?from=filter&spread=filtersearch_t&position=18&kwtype=filter&now_time=1550802593,95m²
18,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,15591元/m²,2015年建造,145,3室2厅,绿地国际博览城 精装三房 通透大气 实拍 真,低层(共32层),https://nc.anjuke.com/prop/view/A1585132134?from=filter&spread=filtersearch_t&position=19&kwtype=filter&now_time=1550802593,93m²
19,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,20000元/m²,2016年建造,280,4室2厅,（万科自营）豪华精装修 房东诚意出售 双学双铁,低层(共33层),https://nc.anjuke.com/prop/view/A1587355898?from=filter&spread=filtersearch_t&position=20&kwtype=filter&now_time=1550802593,140m²
20,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,20357元/m²,2015年建造,285,4室2厅,（万科自营）万科物业管理，豪装四房，诚心出售,低层(共33层),https://nc.anjuke.com/prop/view/A1587301918?from=filter&spread=filtersearch_t&position=21&kwtype=filter&now_time=1550802593,140m²
21,九龙湖花园一区  新建-九龙湖新区-祥云大道,15532元/m²,2015年建造,187,3室1厅,省政府配套，就读新龙岗学校。好楼层，小区环境清新,高层(共33层),https://nc.anjuke.com/prop/view/A1579088839?from=filter&spread=filtersearch_t&position=22&kwtype=filter&now_time=1550802593,120m²
